2000년 9월 28일 	 JD=2451782
2000년 9월 29일 	 JD=2451783
2000년 9월 30일 	 JD=2451784
2000년 10월 1일 	 JD=2451786
2000년 10월 2일 	 JD=2451787
2000년 10월 3일 	 JD=2451788
2000년 10월 4일 	 JD=2451789
2000년 10월 5일 	 JD=2451790
2000년 10월 6일 	 JD=2451791
2000년 10월 7일 	 JD=2451792
2000년 10월 8일 	 JD=2451793
2000년 10월 9일 	 JD=2451794
2000년 10월 10일 	 JD=2451795
2000년 10월 11일 	 JD=2451796
2000년 10월 12일 	 JD=2451797
2000년 10월 13일 	 JD=2451798
2000년 10월 14일 	 JD=2451799
2000년 10월 15일 	 JD=2451800
2000년 10월 16일 	 JD=2451801
2000년 10월 17일 	 JD=2451802
2000년 10월 18일 	 JD=2451803
2000년 10월 19일 	 JD=2451804
2000년 10월 20일 	 JD=2451805
2000년 10월 21일 	 JD=2451806
2000년 10월 22일 	 JD=2451807
2000년 10월 23일 	 JD=2451808
2000년 10월 24일 	 JD=2451809
2000년 10월 25일 	 JD=2451810
2000년 10월 26일 	 JD=2451811
2000년 10월 27일 	 JD=2451812
2000년 10월 28일 	 JD=2451813
2000년 10월 29일 	 JD=2451814
2000년 10월 30일 	 JD=2451815
2000년 10월 31일 	 JD=2451816
2000년 11월 1일 	 JD=2451816
2000년 11월 2일 	 JD=2451817
2000년 11월 3일 	 JD=2451818
2000년 11월 4일 	 JD=2451819
2000년 11월 5일 	 JD=2451820
2000년 11월 6일 	 JD=2451821
2000년 11월 7일 	 JD=2451822
2000년 11월 8일 	 JD=2451823
2000년 11월 9일 	 JD=2451824
2000년 11월 10일 	 JD=2451825
2000년 11월 11일 	 JD=2451826
2000년 11월 12일 	 JD=2451827
2000년 11월 13일 	 JD=2451828
2000년 11월 14일 	 JD=2451829
2000년 11월 15일 	 JD=2451830
2000년 11월 16일 	 JD=2451831
2000년 11월 17일 	 JD=2451832
2000년 11월 18일 	 JD=2451833
2000년 11월 19일 	 JD=2451834
2000년 11월 20일 	 JD=2451835
2000년 11월 21일 	 JD=2451836
2000년 11월 22일 	 JD=2451837
2000년 11월 23일 	 JD=2451838
2000년 11월 24일 	 JD=2451839
2000년 11월 25일 	 JD=2451840
2000년 11월 26일 	 JD=2451841
2000년 11월 27일 	 JD=2451842
2000년 11월 28일 	 JD=2451843
2000년 11월 29일 	 JD=2451844
2000년 11월 30일 	 JD=2451845
2000년 12월 1일 	 JD=2451846
2000년 12월 2일 	 JD=2451847
2000년 12월 3일 	 JD=2451848
2000년 12월 4일 	 JD=2451849
2000년 12월 5일 	 JD=2451850
2000년 12월 6일 	 JD=2451851
2000년 12월 7일 	 JD=2451852
2000년 12월 8일 	 JD=2451853
2000년 12월 9일 	 JD=2451854
2000년 12월 10일 	 JD=2451855
2000년 12월 11일 	 JD=2451856
2000년 12월 12일 	 JD=2451857
2000년 12월 13일 	 JD=2451858
2000년 12월 14일 	 JD=2451859
2000년 12월 15일 	 JD=2451860
2000년 12월 16일 	 JD=2451861
2000년 12월 17일 	 JD=2451862
2000년 12월 18일 	 JD=2451863
2000년 12월 19일 	 JD=2451864
2000년 12월 20일 	 JD=2451865
2000년 12월 21일 	 JD=2451866
2000년 12월 22일 	 JD=2451867
2000년 12월 23일 	 JD=2451868
2000년 12월 24일 	 JD=2451869
2000년 12월 25일 	 JD=2451870
2000년 12월 26일 	 JD=2451871
2000년 12월 27일 	 JD=2451872
2000년 12월 28일 	 JD=2451873
2000년 12월 29일 	 JD=2451874
2000년 12월 30일 	 JD=2451875
2000년 12월 31일 	 JD=2451876
2001년 1월 1일 	 JD=2451877
2001년 1월 2일 	 JD=2451878
2001년 1월 3일 	 JD=2451879
2001년 1월 4일 	 JD=2451880
2001년 1월 5일 	 JD=2451881
